05/10/20 11:03:53 PM,4183,,,,,R,,,,
05/10/20 11:05:38 PM,4183,,,,,R,,,,
07/10/20 10:11:49 PM,4056,,,,,R,,,,
07/10/20 10:15:52 PM,4057,,,,,R,,,,
07/10/20 10:17:39 PM,4056,,,,,R,,,,
07/10/20 10:24:01 PM,4056,,,,,R,,,,
07/10/20 10:36:33 PM,4057,,,,,,309,186,4,,,,
07/10/20 10:58:18 PM,4057,,,,,,672,325,12,,,,
07/10/20 11:54:12 PM,4054,,,,,,881,112,3,,,,
08/10/20 12:24:14 AM,4053,,,,,,392,38,33,,,,
08/10/20 01:13:34 AM,4051,,,,,,440,121,4,,,,
08/10/20 01:19:09 AM,4050,,,,,,324,107,3,,,,
08/10/20 01:20:44 AM,4051,,,,,,575,170,4,,,,
08/10/20 01:26:29 AM,4051,,,,,,191,68,2,,,,
08/10/20 01:32:03 AM,4051,,,,,,405,138,32,,,,
08/10/20 01:33:38 AM,4051,,,,,,832,89,2,,,,
08/10/20 01:41:19 AM,4050,,,,,,185,55,2,,,,
08/10/20 01:42:52 AM,4051,,,,,,825,101,3,,,,
08/10/20 01:44:33 AM,4052,,,,,,588,206,5,,,,
08/10/20 01:50:13 AM,4051,,,,,,648,136,4,,,,
08/10/20 01:51:54 AM,4049,,,,,,159,75,11,,,,
08/10/20 01:53:29 AM,4049,,,,,,771,55,2,,,,
08/10/20 01:55:01 AM,4050,,,,,,588,222,5,,,,
08/10/20 02:02:41 AM,4051,,,,,,170,40,10,,,,
08/10/20 02:14:07 AM,4050,,,,,,404,134,2,,,,
08/10/20 02:15:43 AM,4050,,,,,,763,61,3,,,,
08/10/20 02:19:16 AM,4050,,,,,,767,94,3,,,,
08/10/20 02:22:42 AM,4050,,,,,,308,163,8,,,,
08/10/20 02:24:20 AM,4051,,,,,,786,66,2,,,,
08/10/20 02:27:57 AM,4050,,,,,,571,230,5,,,,
08/10/20 02:31:26 AM,4049,,,,,,226,145,6,,,,
08/10/20 02:33:02 AM,4050,,,,,,891,50,1,,,,
08/10/20 02:38:39 AM,4049,,,,,,190,71,5,,,,
08/10/20 02:40:23 AM,4050,,,,,,390,123,3,,,,
08/10/20 02:41:56 AM,4049,,,,,,154,73,3,,,,
08/10/20 02:45:30 AM,4048,,,,,,286,127,3,,,,
08/10/20 02:49:02 AM,4050,,,,,,410,99,2,,,,
08/10/20 02:50:35 AM,4050,,,,,,783,44,1,,,,
08/10/20 02:54:10 AM,4049,,,,,,732,76,2,,,,
08/10/20 02:55:43 AM,4049,,,,,,434,113,2,,,,
08/10/20 02:57:18 AM,4050,,,,,,837,58,1,,,,
08/10/20 03:04:40 AM,4049,,,,,,818,55,2,,,,
08/10/20 03:14:16 AM,4049,,,,,,384,65,1,,,,
08/10/20 03:15:48 AM,4048,,,,,,402,15,0,,,,
08/10/20 04:19:41 AM,4046,,,,,,159,52,1,,,,
08/10/20 04:45:36 AM,4045,,,,,,344,45,1,,,,
08/10/20 04:47:10 AM,4045,,,,,,393,96,2,,,,
08/10/20 04:48:43 AM,4045,,,,,,131,41,8,,,,
