05/11/20 02:20:59 AM,1,,,4145,,,nan,nan,5600,,,,
05/11/20 02:22:31 AM,2,,,4143,,,361,0,8340,,,,
05/11/20 02:24:05 AM,3,,,4146,,,nan,nan,7064,,,,
05/11/20 02:25:38 AM,4,,,4144,,,nan,nan,5842,,,,
05/11/20 02:27:11 AM,5,,,4144,,,1323,0,9201,,,,
05/11/20 02:28:47 AM,6,,,4143,,,464,15,15319,,,,
05/11/20 02:30:22 AM,7,,,4142,,,421,0,11866,,,,
05/11/20 02:31:56 AM,8,,,4145,,,1383,0,8321,,,,
08/11/20 06:26:48 AM,2230,,,3889,,,nan,nan,1835,,,,
10/11/20 02:40:46 AM,3524,,,3742,,,453,23,22838,,,,
10/11/20 02:42:20 AM,3525,,,3748,,,1184,15,14309,,,,
