29/09/20 01:15:21 AM,4156,,,,,,228,15,0,,,,
29/09/20 01:16:51 AM,4157,,,,,,nan,nan,0,,,,
29/09/20 01:50:31 AM,4153,,,,,,210,0,0,,,,
29/09/20 01:55:52 AM,4152,,,,,,219,23,1,,,,
29/09/20 02:21:42 AM,4150,,,,,,152,40,1,,,,
29/09/20 02:25:17 AM,4149,,,,,,1209,41,3,,,,
29/09/20 02:38:48 AM,4149,,,,,,210,26,1,,,,
29/09/20 02:48:23 AM,4150,,,,,,136,43,1,,,,
29/09/20 03:01:52 AM,4149,,,,,,168,49,1,,,,
29/09/20 03:36:58 AM,4147,,,,,,1272,33,1,,,,
29/09/20 03:54:38 AM,4146,,,,,,170,52,1,,,,
29/09/20 03:58:15 AM,4146,,,,,,126,29,1,,,,
29/09/20 03:59:49 AM,4144,,,,,,150,45,1,,,,
29/09/20 04:19:34 AM,4144,,,,,,156,40,1,,,,
29/09/20 04:27:02 AM,4143,,,,,,175,32,1,,,,
29/09/20 04:48:39 AM,4142,,,,,,170,47,1,,,,
29/09/20 04:50:14 AM,4142,,,,,,160,46,1,,,,
29/09/20 05:01:48 AM,4141,,,,,,153,38,1,,,,
29/09/20 05:07:22 AM,4142,,,,,,140,37,1,,,,
29/09/20 05:16:58 AM,4141,,,,,,151,45,1,,,,
29/09/20 05:20:30 AM,4141,,,,,,186,42,1,,,,
29/09/20 05:24:05 AM,4139,,,,,,201,14,0,,,,
29/09/20 05:25:42 AM,4140,,,,,,154,43,1,,,,
29/09/20 05:42:54 AM,4139,,,,,,223,15,0,,,,
29/09/20 06:02:22 AM,4138,,,,,,194,15,0,,,,
29/09/20 06:09:41 AM,4138,,,,,,181,21,0,,,,
29/09/20 06:21:05 AM,4136,,,,,,170,14,0,,,,
29/09/20 06:28:39 AM,4136,,,,,,207,20,1,,,,
29/09/20 06:42:14 AM,4137,,,,,,165,15,0,,,,
29/09/20 06:43:48 AM,4136,,,,,,147,41,1,,,,
29/09/20 06:45:22 AM,4137,,,,,,143,41,1,,,,
29/09/20 06:53:12 AM,4137,,,,,,202,14,0,,,,
29/09/20 06:54:50 AM,4136,,,,,,193,15,0,,,,
29/09/20 07:06:16 AM,4136,,,,,,240,0,0,,,,
29/09/20 07:07:48 AM,4135,,,,,,195,15,0,,,,
29/09/20 07:24:59 AM,4136,,,,,,153,24,0,,,,
29/09/20 07:48:24 AM,4134,,,,,,195,15,0,,,,
29/09/20 07:51:57 AM,4134,,,,,,194,15,0,,,,
29/09/20 08:01:36 AM,4134,,,,,,180,0,0,,,,
29/09/20 08:03:08 AM,4134,,,,,,189,14,0,,,,
29/09/20 08:10:30 AM,4134,,,,,,180,0,0,,,,
29/09/20 08:15:59 AM,4134,,,,,,189,14,1,,,,
29/09/20 08:19:41 AM,4133,,,,,,169,15,0,,,,
29/09/20 08:23:16 AM,4133,,,,,,120,0,0,,,,
29/09/20 08:28:39 AM,4134,,,,,,171,34,0,,,,
29/09/20 08:34:09 AM,4133,,,,,,193,15,0,,,,
29/09/20 08:35:44 AM,4132,,,,,,nan,nan,0,,,,
29/09/20 08:51:22 AM,4130,,,,,,204,18,1,,,,
29/09/20 08:52:56 AM,4132,,,,,,nan,nan,0,,,,
29/09/20 08:54:33 AM,4132,,,,,,198,15,0,,,,
29/09/20 08:56:07 AM,4132,,,,,,196,15,0,,,,
29/09/20 08:56:07 AM,4132,,,,,,196,15,0,,,,
29/09/20 08:57:39 AM,4131,,,,,,nan,nan,0,,,,
29/09/20 08:59:14 AM,4132,,,,,,193,15,0,,,,
29/09/20 09:00:47 AM,4130,,,,,,193,15,0,,,,
29/09/20 09:04:19 AM,4132,,,,,,194,15,0,,,,
29/09/20 09:07:51 AM,4131,,,,,,196,15,0,,,,
29/09/20 09:11:25 AM,4132,,,,,,210,0,0,,,,
29/09/20 09:14:58 AM,4131,,,,,,208,18,1,,,,
29/09/20 09:20:30 AM,4132,,,,,,180,0,0,,,,
29/09/20 09:30:06 AM,4131,,,,,,210,0,0,,,,
29/09/20 09:37:27 AM,4131,,,,,,200,14,0,,,,
29/09/20 09:38:59 AM,4130,,,,,,205,18,1,,,,
