29/09/20 12:18:20 AM,1,,,,,,779,70,1,,,,
29/09/20 12:19:03 AM,2,,,,,,411,67,2,,,,
29/09/20 12:20:43 AM,3,,,,,,992,97,2,,,,
29/09/20 12:22:25 AM,4,,,,,,90,0,0,,,,
29/09/20 12:24:04 AM,5,,,,,,848,66,1,,,,
29/09/20 12:25:52 AM,6,,,,,,883,14,0,,,,
29/09/20 12:27:32 AM,7,,,,,,1108,86,2,,,,
29/09/20 12:29:12 AM,8,,,,,,978,62,1,,,,
29/09/20 12:30:54 AM,9,,,,,,942,32,0,,,,
29/09/20 12:32:34 AM,10,,,,,,1026,25,0,,,,
29/09/20 12:34:14 AM,11,,,,,,1273,138,4,,,,
29/09/20 12:36:01 AM,12,,,,,,891,142,5,,,,
29/09/20 12:37:41 AM,13,,,,,,145,47,1,,,,
29/09/20 12:39:20 AM,14,,,,,,256,15,0,,,,
29/09/20 12:41:00 AM,15,,,,,,1138,99,2,,,,
29/09/20 12:42:43 AM,16,,,,,,646,28,1,,,,
29/09/20 12:44:24 AM,17,,,,,,1116,105,2,,,,
29/09/20 12:46:06 AM,18,,,,,,1003,23,0,,,,
29/09/20 12:47:47 AM,19,,,,,,447,22,0,,,,
29/09/20 12:49:27 AM,20,,,,,,1812,13,0,,,,
29/09/20 12:51:07 AM,21,,,,,,1137,312,9,,,,
29/09/20 12:52:49 AM,22,,,,,,691,0,0,,,,
29/09/20 12:54:31 AM,23,,,,,,214,26,0,,,,
29/09/20 12:56:10 AM,24,,,,,,141,36,1,,,,
29/09/20 12:57:51 AM,25,,,,,,205,43,1,,,,
29/09/20 12:59:37 AM,26,,,,,,239,21,0,,,,
29/09/20 01:01:17 AM,27,,,,,,162,51,1,,,,
29/09/20 01:02:58 AM,28,,,,,,225,15,0,,,,
29/09/20 01:04:38 AM,29,,,,,,271,0,0,,,,
29/09/20 01:06:25 AM,30,,,,,,1037,30,1,,,,
29/09/20 01:08:11 AM,31,,,,,,166,15,0,,,,
29/09/20 01:09:50 AM,32,,,,,,751,384,14,,,,
29/09/20 01:11:43 AM,33,,,,,,1000,54,10,,,,
29/09/20 01:13:24 AM,34,,,,,,850,139,3,,,,
29/09/20 01:15:05 AM,35,,,,,,988,207,5,,,,
29/09/20 01:16:51 AM,36,,,,,,681,283,15,,,,
29/09/20 01:18:37 AM,37,,,,,,1033,14,0,,,,
29/09/20 01:25:00 AM,39,,,,,,708,24,1,,,,
29/09/20 01:26:40 AM,40,,,,,,nan,nan,0,,,,
29/09/20 01:28:28 AM,41,,,,,,437,15,0,,,,
29/09/20 01:30:09 AM,42,,,,,,195,15,0,,,,
29/09/20 01:32:04 AM,43,,,,,,90,0,0,,,,
29/09/20 01:33:45 AM,44,,,,,,989,54,1,,,,
29/09/20 01:35:24 AM,45,,,,,,205,34,0,,,,
29/09/20 01:37:11 AM,46,,,,,,895,24,1,,,,
29/09/20 01:38:50 AM,47,,,,,,240,0,0,,,,
29/09/20 01:40:31 AM,48,,,,,,185,22,1,,,,
29/09/20 01:42:11 AM,49,,,,,,1176,24,0,,,,
29/09/20 01:43:57 AM,50,,,,,,852,140,4,,,,
29/09/20 01:45:55 AM,51,,,,,,1149,56,1,,,,
29/09/20 01:47:35 AM,52,,,,,,721,38,1,,,,
29/09/20 01:49:15 AM,53,,,,,,1022,0,0,,,,
29/09/20 01:51:02 AM,54,,,,,,90,0,0,,,,
29/09/20 01:52:41 AM,55,,,,,,nan,nan,0,,,,
29/09/20 01:54:28 AM,56,,,,,,198,15,0,,,,
29/09/20 01:56:09 AM,57,,,,,,211,24,0,,,,
29/09/20 01:57:49 AM,58,,,,,,1069,67,4,,,,
29/09/20 01:59:34 AM,59,,,,,,788,345,9,,,,
29/09/20 02:01:20 AM,60,,,,,,421,0,0,,,,
29/09/20 02:03:01 AM,61,,,,,,242,23,1,,,,
29/09/20 02:04:43 AM,62,,,,,,973,32,1,,,,
29/09/20 02:06:23 AM,63,,,,,,1007,15,0,,,,
29/09/20 02:08:09 AM,64,,,,,,227,15,0,,,,
29/09/20 02:09:50 AM,65,,,,,,1157,48,8,,,,
29/09/20 02:11:36 AM,66,,,,,,247,32,1,,,,
29/09/20 02:13:23 AM,67,,,,,,421,0,0,,,,
29/09/20 02:15:03 AM,68,,,,,,1222,14,0,,,,
29/09/20 02:16:44 AM,69,,,,,,898,23,0,,,,
29/09/20 02:18:30 AM,70,,,,,,840,227,4,,,,
29/09/20 02:20:16 AM,71,,,,,,1262,22,1,,,,
